Provinsi,y,x2,x3,x4,x5,x7
ACEH,6.59,9.33,-0.37,8241.1,5274.9,65.1
SUMATERA UTARA,6.91,9.54,-1.07,18189.5,14799.4,68.67
SUMATERA BARAT,6.88,8.99,-1.61,3106.2,5534.5,69.01
RIAU,6.32,9.14,-1.13,34117.8,6394.1,65.24
JAMBI,5.13,8.55,-0.51,3511.7,2064.6,67.79
SUMATERA SELATAN,5.51,8.24,-0.11,15824.5,3548.2,68.65
BENGKULU,4.07,8.84,-0.02,5399.2,8467.4,71.73
LAMPUNG,4.67,8.05,-1.66,7120.5,1455.7,70.16
"KEP, BANGKA BELITUNG",5.25,8.06,-2.29,1863.8,2010.7,66.89
"KEP, RIAU",10.34,10.12,-3.8,14249,9007.8,66.28
DKI JAKARTA,10.95,11.13,-2.39,42954.7,10562.1,63.81
JAWA BARAT,10.46,8.55,-2.52,51400.5,48274.2,64.53
JAWA TENGAH,6.48,7.69,-2.65,30606.1,11904.6,69.43
DI YOGYAKARTA,4.57,9.55,-2.67,2683.4,36516,71.12
JAWA TIMUR,5.84,7.78,-2.33,55660.6,3668.7,70.33
BANTEN,10.64,8.89,-3.39,31145.7,40665.7,64.48
BALI,5.63,8.95,-9.34,5432.7,5414.4,74.32
NUSA TENGGARA BARAT,4.22,7.31,-0.62,6582.4,2670,70.45
NUSA TENGGARA TIMUR,4.28,7.63,-0.84,3028.5,4073.6,73.11
KALIMANTAN BARAT,5.81,7.37,-1.82,9256.5,3766,68.83
KALIMANTAN TENGAH,4.58,8.59,-1.41,3710,701.8,68.4
KALIMANTAN SELATAN,4.74,8.29,-1.82,4286.3,2621.9,69.33
KALIMANTAN TIMUR,6.87,9.77,-2.9,25934,1171.7,65.5
KALIMANTAN UTARA,4.97,9,-1.09,2235.2,2985.7,66.51
SULAWESI UTARA,7.37,9.49,-0.99,3005.6,9073.5,63.42
SULAWESI TENGAH,3.77,8.83,4.86,5261.3,1419.2,69.44
SULAWESI SELATAN,6.31,8.38,-0.71,9142,2624.9,63.4
SULAWESI TENGGARA,4.58,9.04,-0.65,2865.7,4317.4,69.83
GORONTALO,4.28,7.82,-0.02,683.6,5320.1,66.46
SULAWESI BARAT,3.32,7.89,-2.34,252.9,5325.6,70.19
MALUKU,7.57,9.93,-0.91,474.8,1848.9,65.07
MALUKU UTARA,5.15,9.04,5.39,662.1,1282.9,64.28
PAPUA BARAT,6.8,7.6,-0.76,1925.4,1134.1,69.55
PAPUA,4.28,6.69,2.39,2722.2,4303.7,72.16